MemberID,Hat,Jacket,Gloves,Pants,Spats,Shoes,Grooming
1,true,true,true,true,true,true,true
2,true,true,true,true,true,true,true
3,true,true,true,true,true,true,true
4,true,true,true,true,true,true,true
5,true,true,true,true,true,true,true
6,true,true,true,true,true,true,true
7,true,true,true,true,true,true,true
8,true,true,true,true,true,true,true
9,true,true,true,true,true,true,true
10,true,true,true,true,true,true,true
11,true,true,true,true,true,true,true
12,true,true,true,true,true,true,true
13,true,true,true,true,true,true,true
14,true,true,true,true,true,true,true
15,true,true,true,true,true,true,true
16,true,true,true,true,true,true,true
17,true,true,true,true,true,true,true
18,true,true,true,true,true,true,true
19,true,true,true,true,true,true,true
20,true,true,true,true,true,true,true
21,true,true,true,true,true,true,true
22,true,true,true,true,true,true,true
23,true,true,true,true,true,true,true
24,true,true,true,true,true,true,true
25,true,true,true,true,true,true,true
26,true,true,true,true,true,true,true
27,true,true,true,true,true,true,true
28,true,true,true,true,true,true,true
29,true,true,true,true,true,true,true
30,true,true,true,true,true,true,true
31,true,true,true,true,true,true,true
32,true,true,true,true,true,true,true
33,true,true,true,true,true,true,true
34,true,true,true,true,true,true,true
35,true,true,true,true,true,true,true
36,true,true,true,true,true,true,true
37,true,true,true,true,true,true,true
38,true,true,true,true,true,true,true
39,true,true,true,true,true,true,true
40,true,true,true,true,true,true,true
41,true,true,true,true,true,true,true
42,true,true,true,true,true,true,true
43,true,true,true,true,true,true,true
44,true,true,true,true,true,true,true
45,true,true,true,true,true,true,true
46,true,true,true,true,true,true,true
47,true,true,true,true,true,true,true
48,true,true,true,true,true,true,true
49,true,true,true,true,true,true,true
50,true,true,true,true,true,true,true
